Gym has been unmaintained since 2022 and does not support NumPy 2.0 amongst other critical functionality.
Please upgrade to Gymnasium, the maintained drop-in replacement of Gym, or contact the authors of your software and request that they upgrade.
Users of this version of Gym should be able to simply replace 'import gym' with 'import gymnasium as gym' in the vast majority of cases.
See the migration guide at https://gymnasium.farama.org/introduction/migration_guide/ for additional information.
[cramped_room s8801] steps 587776 sparse20 83.0 potter0 0.5 (343.1s)
[cramped_room s8801] steps 589824 sparse20 79.0 potter0 0.45 (344.2s)
[cramped_room s8801] steps 591872 sparse20 77.0 potter0 0.45 (345.5s)
[cramped_room s8801] steps 593920 sparse20 79.0 potter0 0.35 (346.6s)
[cramped_room s8801] steps 595968 sparse20 78.0 potter0 0.4 (347.8s)
[cramped_room s8801] steps 598016 sparse20 77.0 potter0 0.45 (348.9s)
[cramped_room s8801] steps 600064 sparse20 82.0 potter0 0.4 (350.1s)
[cramped_room s8801] steps 602112 sparse20 78.0 potter0 0.4 (351.2s)
[cramped_room s8801] steps 604160 sparse20 80.0 potter0 0.45 (352.3s)
[cramped_room s8801] steps 606208 sparse20 82.0 potter0 0.45 (353.5s)
[cramped_room s8801] steps 608256 sparse20 80.0 potter0 0.45 (354.6s)
[cramped_room s8801] steps 610304 sparse20 81.0 potter0 0.4 (355.8s)
[cramped_room s8801] steps 612352 sparse20 80.0 potter0 0.35 (356.9s)
[cramped_room s8801] steps 614400 sparse20 76.0 potter0 0.3 (358.0s)
[cramped_room s8801] steps 616448 sparse20 78.0 potter0 0.25 (359.2s)
[cramped_room s8801] steps 618496 sparse20 79.0 potter0 0.35 (360.3s)
[cramped_room s8801] steps 620544 sparse20 76.0 potter0 0.25 (361.5s)
[cramped_room s8801] steps 622592 sparse20 78.0 potter0 0.35 (362.6s)
[cramped_room s8801] steps 624640 sparse20 78.0 potter0 0.5 (363.8s)
[cramped_room s8801] steps 626688 sparse20 84.0 potter0 0.45 (364.9s)
[cramped_room s8801] steps 628736 sparse20 86.0 potter0 0.45 (366.0s)
[cramped_room s8801] steps 630784 sparse20 87.0 potter0 0.35 (367.2s)
[cramped_room s8801] steps 632832 sparse20 84.0 potter0 0.25 (368.3s)
[cramped_room s8801] steps 634880 sparse20 75.0 potter0 0.25 (369.5s)
[cramped_room s8801] steps 636928 sparse20 66.0 potter0 0.35 (370.6s)
[cramped_room s8801] steps 638976 sparse20 64.0 potter0 0.35 (371.8s)
[cramped_room s8801] steps 641024 sparse20 62.0 potter0 0.35 (373.3s)
[cramped_room s8801] steps 643072 sparse20 64.0 potter0 0.45 (374.7s)
[cramped_room s8801] steps 645120 sparse20 59.0 potter0 0.35 (376.0s)
[cramped_room s8801] steps 647168 sparse20 56.0 potter0 0.4 (377.2s)
[cramped_room s8801] steps 649216 sparse20 59.0 potter0 0.35 (378.3s)
[cramped_room s8801] steps 651264 sparse20 57.0 potter0 0.3 (379.5s)
[cramped_room s8801] steps 653312 sparse20 63.0 potter0 0.4 (380.6s)
